case,z_real_ohm,z_imag_ohm,z_abs_ohm,coil_rms_A_at_3V3_fundamental,coil_peak_V_at_3V3_fundamental
0,17.854712020253245,-0.3724467413162872,17.858596190666635,0.25791803109461847,48.451970101084335
1,17.96049915255298,-0.6745215708316236,17.97316080043723,0.25670198738731625,48.223526540555596
2,18.118006136893413,-0.227092377144455,18.119429277001647,0.2550735305658193,47.91760786983988
3,17.758019101983077,-0.8242462117787521,17.777137684228794,0.258537443239703,48.56833163892064
4,19.891261821013366,0.28110507654712874,19.893248022788146,0.24490046376412283,46.006515704549166
5,21.659258635502287,1.460693965453419,21.70845714232802,0.23569903014872828,44.27795262375915
6,19.23558857111998,-0.02488063069674823,19.235604662271093,0.24921096274735008,46.81627749968114
7,19.189626754371975,0.08237128732285738,19.18980354253487,0.2490478648447787,46.78563825098107
8,18.824430082607368,-0.14994344259354853,18.825027250204712,0.25146947782898915,47.24055766630615
9,18.870815381352703,-0.46752538908325764,18.876605975294794,0.25080479771154013,47.11569217690729
10,19.105006351717773,-0.10663766487012799,19.10530395703626,0.24992029022171403,46.94953035305436
11,20.600773632745288,0.8788957236171663,20.619513378365795,0.24083346451997892,45.24249728775962
12,22.802051289925178,1.8029158816765514,22.873216842079298,0.22960529189401693,43.133195033651816
13,17.530752635289705,-1.137655996826381,17.567627874213184,0.259044474602463,48.66358154573986
14,20.46626921957459,0.6735927265527816,20.477350974414904,0.24201169255124208,45.46383687034225
15,22.46916556127147,1.565733226587401,22.523652491473662,0.23179471037866356,43.54449485052247
16,19.26367636252597,0.18576518884514803,19.264572035358803,0.248627982123768,46.70675991526321
17,18.773489109503455,-0.5611013795855336,18.78187232686927,0.25222321302979295,47.38215286714765
18,20.9590900562715,1.1741014474460592,20.991950128461,0.23922374236952004,44.940098075211054
19,20.84285742653181,0.6008359699172747,20.85151576182122,0.24018922864594186,45.12147241340548
20,18.862658677563132,-0.4762702782930262,18.86867048215727,0.25110585993636125,47.17224912972555
21,20.3448944576512,0.6808329796007827,20.356283158746802,0.24284531160825779,45.620438894073594
