References,MPN,LCSC,Package,Per_board,Boards,Placements,Minimum_placement,Loss_allowance,Planning_quantity,Available_order_quantity,Stock_status,Library,Assembly_mode,Preorder_MOQ,Observed_UTC,Source
"C1, C2, C4",CL32B226KAJNNNE,C309062,1210,3,10,30,5,2,32,157782,AVAILABLE,expand,smtWeld,38,2026-09-20T16:23:16.415059+00:00,https://jlcpcb.com/partdetail/C309062
"C3, C41",CL10C220JB8NNNC,C1653,0603,2,10,20,20,10,30,1425283,AVAILABLE,base,smtWeld,2051,2026-09-20T16:27:36.460732+00:00,https://jlcpcb.com/partdetail/C1653
"C5, C6, C9",CL31A226KAHNNNE,C12891,1206,3,10,30,5,4,34,717388,AVAILABLE,base,smtWeld,52,2026-09-20T16:23:19.558532+00:00,https://jlcpcb.com/partdetail/C12891
"C10, C11, C13, C14, C16, C18, C20, C25, C43, C45, C48, C51",CL10B104KB8NNNC,C1591,0603,12,10,120,20,10,130,1155797,AVAILABLE,expand,smtWeld,1368,2026-09-20T16:23:19.564335+00:00,https://jlcpcb.com/partdetail/C1591
C12,CL10B105KA8NNNC,C29936,0603,1,10,10,20,10,30,107851,AVAILABLE,expand,smtWeld,636,2026-09-20T16:27:36.466026+00:00,https://jlcpcb.com/partdetail/C29936
"C15, C42, C49, C52",CL21B105KBFNNNE,C28323,0805,4,10,40,20,10,50,2262741,AVAILABLE,base,smtWeld,295,2026-09-20T16:23:19.553134+00:00,https://jlcpcb.com/partdetail/C28323
"C17, C19, C40",CL31B106KAHNNNE,C14860,1206,3,10,30,15,8,38,967661,AVAILABLE,expand,smtWeld,47,2026-09-20T16:23:19.569868+00:00,https://jlcpcb.com/partdetail/C14860
"C21, C22, C23, C24, C47, C50",CL21B225KAFNNNE,C19110,0805,6,10,60,20,10,70,17827,AVAILABLE,expand,smtWeld,298,2026-09-20T16:23:22.707471+00:00,https://jlcpcb.com/partdetail/C19110
C26,CL10C120JB8NNNC,C38523,0603,1,10,10,20,10,30,425978,AVAILABLE,base,smtWeld,1128,2026-09-20T16:27:36.472893+00:00,https://jlcpcb.com/partdetail/C38523
C27,CL10C150JB8NNNC,C1644,0603,1,10,10,20,10,30,1037563,AVAILABLE,base,smtWeld,1038,2026-09-20T16:23:22.702045+00:00,https://jlcpcb.com/partdetail/C1644
"C28, C29",GRM2165C2A102JA01D,C162289,0805,2,10,20,20,8,28,3546,AVAILABLE,expand,smtWeld,306,2026-09-20T16:27:36.455326+00:00,https://jlcpcb.com/partdetail/C162289
"C30, C31",CC0805FRNPO0BN331,C527075,0805,2,10,20,20,8,28,4133,AVAILABLE,expand,smtWeld,195,2026-09-20T16:31:39.203656+00:00,https://jlcpcb.com/partdetail/C527075
"C32, C33",CC0805FRNPO0BN680,C576904,0805,2,10,20,20,6,26,8242,AVAILABLE,expand,smtWeld,282,2026-09-20T16:31:39.231678+00:00,https://jlcpcb.com/partdetail/C576904
"C36, C37",CC0805GRNPO0BN101,C527192,0805,2,10,20,20,8,28,50,TIGHT,expand,smtWeld,494,2026-09-20T16:27:19.989973+00:00,https://jlcpcb.com/partdetail/C527192
C44,CL21B475KAFNNNE,C98195,0805,1,10,10,20,8,28,344214,AVAILABLE,expand,smtWeld,210,2026-09-20T16:23:22.696704+00:00,https://jlcpcb.com/partdetail/C98195
C46,CL31B475KBHNNNE,C51205,1206,1,10,10,5,8,18,451272,AVAILABLE,expand,smtWeld,150,2026-09-20T16:23:24.297391+00:00,https://jlcpcb.com/partdetail/C51205
"C53, C54",CC0805JRNPO0BN330,C309485,0805,2,10,20,20,10,30,3922,AVAILABLE,expand,smtWeld,669,2026-09-20T16:35:07.456972+00:00,https://jlcpcb.com/partdetail/C309485
"D1, D2",B340A-13-F,C85098,SMA(DO-214AC),2,10,20,5,4,24,201061,AVAILABLE,expand,smtWeld,128,2026-09-20T16:24:10.014141+00:00,https://jlcpcb.com/partdetail/C85098
D3,KT-0603R,C2286,0603,1,10,10,20,10,30,2583553,AVAILABLE,base,smtWeld,1583,2026-09-20T16:23:44.738242+00:00,https://jlcpcb.com/partdetail/C2286
D4,SS14-E3/61T,C47460,SMA(DO-214AC),1,10,10,5,4,14,26486,AVAILABLE,expand,smtWeld,113,2026-09-20T16:24:30.553624+00:00,https://jlcpcb.com/partdetail/C47460
DS1,FH12A-24S-0.5SH(55),C506794,"SMD,P=0.5mm,Surface Mount，Right Angle",1,10,10,0,0,10,5189,AVAILABLE,expand,smtWeld,14,2026-09-21T17:02:12.255813+00:00,https://jlcpcb.com/partdetail/C506794
J1,USB4105-GF-A-120,C5184243,SMD,1,10,10,0,0,10,4993,AVAILABLE,expand,smtWeld,13,2026-09-20T16:29:11.872721+00:00,https://jlcpcb.com/partdetail/C5184243
J2,B2B-PH-SM4-TB(LF)(SN),C160352,"SMD,P=2mm",1,10,10,5,0,10,34746,AVAILABLE,expand,smtWeld,42,2026-09-20T22:17:15.664738+00:00,https://jlcpcb.com/partdetail/C160352
L1,LSXND3030QKT2R2MNG,C6980123,1212,1,10,10,5,2,12,1634,AVAILABLE,expand,smtWeld,80,2026-09-20T16:23:44.493752+00:00,https://jlcpcb.com/partdetail/C6980123
"L2, L3",0805HP-151XGRC,C20417049,0805,2,10,20,2,0,20,21,TIGHT,expand,smtWeld,14,2026-09-20T16:28:07.555877+00:00,https://jlcpcb.com/partdetail/C20417049
L4,LPS4018-103MRC,C6127589,"SMD,3.9x3.9mm",1,10,10,2,0,10,3598,AVAILABLE,expand,smtWeld,6,2026-09-20T16:23:44.714232+00:00,https://jlcpcb.com/partdetail/C6127589
"Q1, Q3",IRLML6402TRPBF,C2593,SOT-23,2,10,20,5,4,24,21541,AVAILABLE,expand,smtWeld,23,2026-09-20T16:25:04.938858+00:00,https://jlcpcb.com/partdetail/C2593
"Q2, Q4, Q5",BSS138,C52895,SOT-23,3,10,30,5,4,34,64187,AVAILABLE,expand,smtWeld,175,2026-09-20T16:25:04.946038+00:00,https://jlcpcb.com/partdetail/C52895
"R1, R2",0603WAF5101T5E,C23186,0603,2,10,20,20,10,30,24274927,AVAILABLE,base,smtWeld,5000,2026-09-20T16:24:30.889728+00:00,https://jlcpcb.com/partdetail/C23186
"R3, R5, R8, R9, R10, R11, R21, R35, R37",0603WAF1002T5E,C25804,0603,9,10,90,20,10,100,17991889,AVAILABLE,base,smtWeld,4102,2026-09-20T16:23:46.968561+00:00,https://jlcpcb.com/partdetail/C25804
"R4, R19, R20",0603WAF2201T5E,C4190,0603,3,10,30,20,10,40,5401255,AVAILABLE,base,smtWeld,5000,2026-09-20T16:23:47.355274+00:00,https://jlcpcb.com/partdetail/C4190
R6,RT0603BRD07220KL,C861231,0603,1,10,10,20,8,28,11085,AVAILABLE,expand,smtWeld,203,2026-09-20T16:26:34.243811+00:00,https://jlcpcb.com/partdetail/C861231
R7,RT0603BRD0748K7L,C861429,0603,1,10,10,20,8,28,10027,AVAILABLE,expand,smtWeld,181,2026-09-20T16:25:07.554039+00:00,https://jlcpcb.com/partdetail/C861429
"R12, R13",0603WAF220JT5E,C23345,0603,2,10,20,20,10,30,6478741,AVAILABLE,base,smtWeld,5000,2026-09-20T16:24:32.950749+00:00,https://jlcpcb.com/partdetail/C23345
R14,0603WAF1000T5E,C22775,0603,1,10,10,20,10,30,11465310,AVAILABLE,base,smtWeld,3008,2026-09-20T16:23:47.339333+00:00,https://jlcpcb.com/partdetail/C22775
"R15, R16",0603WAF4703T5E,C23178,0603,2,10,20,20,10,30,1514132,AVAILABLE,base,smtWeld,3923,2026-09-20T16:24:32.965514+00:00,https://jlcpcb.com/partdetail/C23178
"R17, R18, R22, R23, R24, R33, R34, R36, R40",0603WAF1003T5E,C25803,0603,9,10,90,20,10,100,22052284,AVAILABLE,base,smtWeld,3760,2026-09-20T16:24:30.395664+00:00,https://jlcpcb.com/partdetail/C25803
"R25, R26",0805W8F2201T5E,C17520,0805,2,10,20,20,10,30,3632936,AVAILABLE,base,smtWeld,2314,2026-09-20T16:24:33.140969+00:00,https://jlcpcb.com/partdetail/C17520
"R27, R28",CRCW12062R70FKEAHP,C2079511,1206,2,10,20,5,4,24,130,AVAILABLE,expand,smtWeld,78,2026-09-20T16:29:11.886577+00:00,https://jlcpcb.com/partdetail/C2079511
R29,0603WAF0000T5E,C21189,0603,1,10,10,20,10,30,16824923,AVAILABLE,base,smtWeld,4749,2026-09-20T16:24:33.475202+00:00,https://jlcpcb.com/partdetail/C21189
R30,CPF0805B1M8E,C2088132,0805,1,10,10,5,0,10,154,AVAILABLE,expand,smtWeld,26,2026-09-20T16:28:07.609269+00:00,https://jlcpcb.com/partdetail/C2088132
R31,RT0603BRD07200KL,C728585,0603,1,10,10,20,8,28,257038,AVAILABLE,expand,smtWeld,162,2026-09-20T16:26:33.247902+00:00,https://jlcpcb.com/partdetail/C728585
R32,0603WAF9103T5E,C23263,0603,1,10,10,20,10,30,287487,AVAILABLE,expand,smtWeld,5000,2026-09-20T16:29:12.027476+00:00,https://jlcpcb.com/partdetail/C23263
"R41, R42",RC0805JR-070RL,C96345,0805,2,10,20,20,10,30,3052608,AVAILABLE,expand,smtWeld,2099,2026-09-20T16:31:39.242801+00:00,https://jlcpcb.com/partdetail/C96345
"SW1, SW2",B3U-1000P,C231329,"SMD,3x2.5mm",2,10,20,5,2,22,161607,AVAILABLE,expand,smtWeld,49,2026-09-20T16:24:10.812328+00:00,https://jlcpcb.com/partdetail/C231329
U1,TP4054-42-SOT25R,C32574,SOT-23-5,1,10,10,5,2,12,7610,AVAILABLE,expand,smtWeld,87,2026-09-20T16:31:39.212264+00:00,https://jlcpcb.com/partdetail/C32574
U2,SY8089AAAC,C78988,SOT-23-5,1,10,10,5,2,12,52534,AVAILABLE,expand,smtWeld,77,2026-09-20T16:23:16.470202+00:00,https://jlcpcb.com/partdetail/C78988
U3,ESP32-C3-WROOM-02-N4,C2934560,"SMD,20x18mm",1,10,10,0,0,10,5703,AVAILABLE,expand,smtWeld,3,2026-09-20T16:25:04.958438+00:00,https://jlcpcb.com/partdetail/C2934560
U4,USBLC6-2SC6,C7519,SOT-23-6L,1,10,10,5,2,12,22964,AVAILABLE,expand,smtWeld,67,2026-09-20T16:23:52.579730+00:00,https://jlcpcb.com/partdetail/C7519
U5,TLV803EA30DBZR,C5218924,SOT-23-3,1,10,10,5,0,10,3608,AVAILABLE,expand,smtWeld,35,2026-09-20T16:25:31.148473+00:00,https://jlcpcb.com/partdetail/C5218924
U6,PN7160A1HN/C100E,C3303788,HVQFN-40(6x6),1,10,10,0,0,10,3173,AVAILABLE,expand,smtWeld,3,2026-09-20T16:23:16.733510+00:00,https://jlcpcb.com/partdetail/C3303788
U7,AP3012KTR-E1,C460356,SOT-23-5,1,10,10,5,2,12,54706,AVAILABLE,expand,smtWeld,43,2026-09-20T16:25:31.285130+00:00,https://jlcpcb.com/partdetail/C460356
U8,"PCF8574T/3,518",C7605,SOIC-16-300mil,1,10,10,0,0,10,10673,AVAILABLE,expand,smtWeld,5,2026-09-20T16:24:30.371350+00:00,https://jlcpcb.com/partdetail/C7605
U9,MCP1700T-3002E/TT,C62244,SOT-23,1,10,10,2,0,10,2781,AVAILABLE,expand,smtWeld,23,2026-09-20T16:24:09.881268+00:00,https://jlcpcb.com/partdetail/C62244
Y1,NX2016SA-27.12MHZ-EXS00A-CS06346,C3008209,SMD2016-4P,1,10,10,5,0,10,8538,AVAILABLE,expand,smtWeld,24,2026-09-20T16:23:16.409146+00:00,https://jlcpcb.com/partdetail/C3008209
